"STATUS_0","Ungültig / Unvollständig"
"Barclaycard status successfully updated", "Barclaycard Status erfolgreich aktualisiert"
"English", "Englisch"
"German", "Deutsch"
"First Aid - FAQ", "Erste Hilfe - FAQ"
"revert state update to it\'s original one because of Barclaycard\'s state restriction", "Der Status der Bestellung konnte nicht geändert werden, da der Barclaycard Status dies nicht erlaubt"
"Please be informed that, if you use AfterPay as acquirer on Barclaycard side, it's not possible to perform partial captures", "Teilrechnungnen sind nur möglich, wenn der Akzeptanzpartner auf Barclaycard Seite nicht AfterPay ist"
"Partial refunds are not accepted for transactions processed via Klarna.", "Für Transaktionen, die durch Klarna bearbeitet werden, können keine Teilerstattungen durchgeführt werden."
"Please be informed that, if you use Klarna as acquirer on Barclaycard side, it's not possible to use adjustment fees/refunds", "Bitte beachten Sie, dass bei der Verwendung von Klarna auf Barclaycard Seite keine Anpassungsrückerstattung/-gebühr verwendet werden kann"

"This must be identical to the value in the Barclaycard backend in section <em>Technical information</em> on tab <em>Data and origin verification</em>.","Muss identisch mit dem Wert im Barclaycard-Backend unter <em>Technische Informationen</em> auf dem Tab <em>Daten und Ursprungsprüfung</em> sein."
"This must be identical to the value in the Barclaycard backend in section <em>Technical information</em> on tab <em>Transaction feedback</em>.","Muss identisch mit dem Wert im Barclaycard-Backend unter <em>Technische Informationen</em> auf dem Tab <em>Transaktions-Feedback</em> sein."
"Special user for API must be created in the Barclaycard backend in section <em>Users</em>.","Spezieller Benutzer für API muss im Barclaycard-Backend unter <em>Benutzerverwaltung</em> erstellt werden."
"Password which has been set in the Barclaycard backend for above API user.","Passwort, dass im Barclaycard-Backend für den o.g. API-Benutzer vergeben wurde."
"This setting will override the configuration in the Barclaycard backend in section <em>Technical information</em> on tab <em>Global transaction parameters</em>.","Diese Option überschreibt die Einstellung im Barclaycard-Backend unter <em>Technische Informationen</em> auf dem Tab <em>Globale Transaktionsparameter</em>."
"Only enable this if you wish to use Fraud Detection.","Nur aktivieren, wenn Betrugserkennung genutzt wird."
"This will log requests and responses in /var/log/ops.log","Anfragen und Antworten werden in /var/log/ops.log protokolliert."
"Make sure the global Magento logging is also enabled.","Stellen Sie sicher, dass das globale Logging in Magento ebenfalls aktiviert ist."
"If set to <em>Yes></em>, customers will be redirected to the external Barclaycard payment page.","Wenn <em>Ja</em> gewählt ist, werden Kunden zur externen Barclaycard-Bezahlseite weitergeleitet.",
"For the selected card types, the customer can enter the credit card details directly in the checkout.","Für die hier gewählten Kartentypen kann der Kunde seine Kreditkarten-Daten direkt im Checkout eingeben.",
"If the customer's credit card supports 3D Secure, he will be redirected to an external page to enter his password.","Wenn die Kreditkarte des Kunden 3D Secure unterstützt, wird er zu einer externen Seite weitergeleitet, um sein Passwort einzugeben.",
"This sets if this payment method should also be available for orders from the Magento backend.","Legt fest, ob diese Zahlart auch für Bestellungen im Magento-Backend verfügbar sein soll.",
"Make sure that <em>gender</em> and <em>date of birth</em> are required fields in the checkout. Otherwise this payment method will not be displayed.<br />If AfterPay is the acquirer, it is not possible to perform partial captures.","Stellen Sie sicher, dass <em>Geschlecht</em> und <em>Geburtstag</em> im Checkout Pflichtfelder sind. Ansonsten wird diese Zahlart nicht angezeigt.<br />Wenn als Akzeptanzpartner AfterPay genutzt wird, sind keine Teilrechnungen möglich.",
"Make sure that <em>gender</em> and <em>date of birth</em> are required fields in the checkout. Otherwise this payment method will not be displayed.","Stellen Sie sicher, dass <em>Geschlecht</em> und <em>Geburtstag</em> im Checkout Pflichtfelder sind. Ansonsten wird diese Zahlart nicht angezeigt.",

"Additional Barclaycard payment methods", "Zusätzliche Barclaycard Zahlarten"
"A generic payment method, that lets the customer choose the exact method on Barclaycard side.", "Generische Zahlart, die den Kunden die konkrete Zahlart auf Barclaycard Seite auswählen lässt."
"Depending on the selection the extension will communicate with the Barclaycard test or production service. Choose custom, if you have to use special urls for the gateway.", "Abhängig von Ihrer Auswahl wird das Modul die Test- oder Produktiv-Schnittstelle von Barclaycard ansteuern. Wählen Sie 'Angepasst', wenn Sie spezielle Gateway-Urls nutzen."
"prod", "Produktiv"
"test", "Test"
"custom", "Angepasst"
"Mode", "Umgebung"
"<p id=""ops_mode_comment"" style=""color:red; display:none;"">Please note that, after changing this value, you might also need to update additional fields like API-User and password, PSPID or SHA-IN/OUT pass phrase.</p>","<p id=""ops_mode_comment"" style=""color:red; display:none;"">Bitte beachten Sie, dass Sie nach dem Ändern dieses Wertes gegebenenfalls auch andere Werte wie API Benutzer und Passwort, PSPID und SHA-IN/OUT Signatur anpassen müssen.</p>"
"By choosing this payment method the choice of the concrete payment method will be on Barclaycard side.", "Die konkrete Auswahl der Zahlart erfolgt nach der Bestellung auf Barclaycard Seite,"

"Resend payment information", "Zahlungsinformationen erneut senden"
"Barclaycard resend payment information", "Barclaycard Zahlungsinformationen erneut senden"
"Payment information has been resend to customer.", "Zahlungsinformationen wurden an den Kunden gesendet."
"Payment information could not be sent.", "Die Zahlungsinformationen konnten nicht versendet werden."
"Resend payment information identity", "Absender für den Zahlungsinformationen-Neuversand"
"Sender identity. See 'Store Email Adresses'.", "Identität des Senders. Siehe auch 'Store E-Mail-Adressen'"
"Resend payment information template", "Mail-Template für den Zahlungsinformationen-Neuversand"
"The email template to use. Choose 'Default Template from Locale' to use Barclaycard extensions default template.","Das E-Mail-Template, das verwendet wird. Wählen Sie 'Standardvorlage von  Gebietsschema', um die Barclaycard Modul Standardvorlage zu verwenden."

"This payment method always uses direct sale as payment action.","Für diese Zahlart wird immer Direktbelastung als Zahlungsaktion verwendet."

"Allow payment method for discounted carts. Please note that not all aquirers support transmission of discount items.","Erlaube Zahlart auch bei reduziertem Warenkorb. Bitte beachten Sie das nicht alle Zahlunsgdienunterstützen."
"By choosing this payment method the choice of the concrete payment method will be on Barclaycard side.", "Die konkrete Auswahl der Zahlart erfolgt nach der Bestellung auf Barclaycard Seite,"
"Additional Barclaycard payment methods", "Zusätzliche Barclaycard Zahlarten"
"A generic payment method, that lets the customer choose the exact method on Barclaycard side.", "Generische Zahlart, die den Kunden die konkrete Zahlart auf Barclaycard Seite auswählen lässt."
"By choosing this payment method the choice of the concrete payment method will be on Barclaycard side.", "Die konkrete Auswahl der Zahlart erfolgt nach der Bestellung auf Barclaycard Seite,"
"Additional Barclaycard payment methods", "Zusätzliche Barclaycard Zahlarten"
"A generic payment method, that lets the customer choose the exact method on Barclaycard side.", "Generische Zahlart, die den Kunden die konkrete Zahlart auf Barclaycard Seite auswählen lässt."

"Maximum length for this field is 35 characters.", "Die Maximallänge für dieses Feld ist 35 Zeichen."

"Enable state restriction","Aktiviere Status-Einschränkungen"
"If enabled the order status changes that differ from the expected status of the order for the Barclaycard status will get reverted. This can cause conflicts if you use custom order statuses.","Wenn aktiviert, werden Änderungen des Bestell-Status zurückgesetzt, wenn der Status nicht mit dem für den Barclaycard Status erwarteten Wert übereinstimmt. Dies kann zu Konflikten führen, wenn Sie angepasste Bestellstati verwenden."
